   i      U(i)        H(U)(i)  Hinv(H(U))(i)

   0    1.000000   34.000000    1.000000
   1    2.000000  -16.000000    2.000000
   2    3.000000   -5.656854    3.000000
   3    4.000000   -5.656854    4.000000
   4    5.000000   -2.000000    5.000000
   5    6.000000   -2.000000    6.000000
   6    7.000000   -2.000000    7.000000
   7    8.000000   -2.000000    8.000000
   8    9.000000   -0.707107    9.000000
   9   10.000000   -0.707107   10.000000
  10   11.000000   -0.707107   11.000000
  11   12.000000   -0.707107   12.000000
  12   13.000000   -0.707107   13.000000
  13   14.000000   -0.707107   14.000000
  14   15.000000   -0.707107   15.000000
  15   16.000000   -0.707107   16.000000
