   i      U(i)        H(U)(i)  Hinv(H(U))(i)

   0   -1.247618   -5.491400    8.014600
   1    0.827280    0.289400   -4.347300
   2   -0.038784    0.122700   -0.491200
   3   -0.716038    2.650400   -0.381500
   4   -1.268459   -2.331900   -0.787800
   5   -2.108373    1.788600   -0.801700
   6    1.934931   -1.762900   -3.102800
   7   -0.818033    1.058400    0.696700
   8   -2.040368   -0.869800    2.323900
   9    1.155456   -1.603600   -0.295200
  10    2.096804    0.094400   -1.351800
  11   -0.061064    0.425400    0.876200
  12   -0.536009   -0.616300    2.687400
  13    2.188359    0.907200    0.960000
  14    1.126089    1.039800   -0.869800
  15   -1.113080    1.107300   -0.480600
  16   -0.350419    0.925100    0.689800
  17    1.408913    0.233900   -0.150100
  18   -0.694247    1.969900    2.013000
  19    1.557812   -0.856000    0.051200
  20    0.866724   -0.991100    0.818900
  21    0.768759   -1.745900    1.050600
  22    1.706425   -2.109300    0.835200
  23    1.485821   -2.043500    1.620400
  24    0.812688    0.657400    2.078500
  25    1.536827   -0.655200    1.348200
  26    2.912069    0.720600    1.663400
  27    2.234469    0.548700    3.576900
  28    2.783480   -1.544100    1.330400
  29    0.850769   -0.455300    2.351600
  30    2.305595   -0.090300    0.692500
  31    0.560025    0.321000    2.044300
  32    2.461278    0.824800    0.974100
  33    1.469940    1.290100    2.468400
  34    1.648820    0.062900    1.767300
  35    1.029799    1.353000    2.138800
  36    4.502672   -0.361200    0.985400
  37    2.800346    0.913100    4.319400
  38    2.302011   -0.341000    3.477600
  39    3.253415    1.295800    1.982300
  40    2.529334   -1.733700    3.735600
  41    4.306304    1.305400    2.566300
  42    2.453223   -0.389600    4.828300
  43    5.187864    0.477200    2.555800
  44    1.653762    0.295600    4.653800
  45    4.166840    1.017600    1.213300
  46    1.462593   -0.445700    5.051600
  47    4.387547   -0.831600    2.708400
  48    4.363418    0.681200    3.094000
  49    3.768275   -0.646200    4.109600
  50    3.120907    1.353400    4.403600
  51    3.844164   -0.519600    3.534300
  52    4.731546    0.035500    3.668000
  53    4.082974   -0.127500    5.025000
  54    5.228407    1.043000    3.910700
  55    4.756946    0.121500    4.594800
  56    3.681213    0.969500    6.146800
  57    5.964604    1.184000    4.269000
  58    5.211533   -0.158700    5.949900
  59    6.214853    1.165800    5.734500
  60    5.396999    0.298600    5.631200
  61    5.254163    1.872600    5.310800
  62    5.967840   -1.139900    5.644200
  63    5.787300    1.297600    6.467200
