   i      U(i)        H(U)(i)  Hinv(H(U))(i)

   0    0.577957   -0.226800    1.080700
   1    1.322695   -0.318400    0.755800
   2    1.015620   -0.109000    1.143300
   3    0.774761   -0.117500    0.680600
   4    0.786879    0.007300    0.889000
   5    1.132282   -0.050800    0.691900
   6    1.129156   -0.242000    0.968100
   7    0.427175   -0.130500    0.874300
   8    0.837822   -0.339500    0.669800
   9    0.968139   -0.190000    0.510200
  10    1.321498    0.136900    0.687900
  11    0.832695   -0.010400    0.670000
  12    0.941154   -0.062100    0.916300
  13    1.184413   -0.191000    0.590800
  14    0.877298   -0.211100    0.702700
  15    1.002272    0.118500    0.427300
  16    0.577906    0.319800    1.115200
  17    0.871948   -0.000800    0.842200
  18    0.727705   -0.414200    0.957100
  19    1.187476    0.360100    0.574600
  20    0.675146    0.015000    0.982000
  21    0.991677   -0.098400    1.461300
  22    0.901003    0.169100    1.289800
  23    1.167005   -0.216300    1.271000
  24    0.765611    0.048300    1.279200
  25    0.545135   -0.273500    1.151600
  26    1.101371    0.403700    0.858100
  27    0.778504    0.025500    0.213400
  28    0.714961   -0.093000    0.884900
  29    1.298519   -0.459300    0.766700
  30    1.117450   -0.208200    0.930100
  31    1.286772   -0.232100    1.263300
  32    0.830573   -0.251600    0.593300
  33    0.704253    0.241500    0.854300
  34    0.594192   -0.233300    0.660200
  35    1.135522   -0.210600    0.586600
  36    1.038405   -0.194600    1.332400
  37    1.144123   -0.154200    1.000900
  38    0.607860    0.000600    0.563300
  39    1.333678   -0.008300    0.899700
  40    1.015546    0.424300    0.955000
  41    1.128066   -0.396300    1.116700
  42    0.914954   -0.052700    1.196500
  43    1.216248   -0.261500    1.094600
  44    0.504092    0.142400    0.878900
  45    1.166760    0.145500    1.043900
  46    1.299306    0.530200    0.880800
  47    0.547573    0.516900    0.357600
  48    1.080122   -0.008400    0.555300
  49    0.777989    0.344600    0.659900
  50    0.711721    0.094400    1.211800
  51    1.042411   -0.176300    1.077400
  52    1.292513    0.174000    0.603700
  53    0.587246    0.158400    1.056700
  54    0.748231   -0.166100    1.058700
  55    0.706625   -0.172000    1.234400
  56    0.988957    0.457600    1.198100
  57    0.633017   -0.357800    1.026100
  58    1.154348   -0.278700    1.272800
  59    0.455967   -0.189400    0.456200
  60    1.263249    0.293500    1.131600
  61    1.278438    0.231500    0.976100
  62    0.685087   -0.044800    0.983000
  63    0.560057    0.183400    0.465800
  64    0.900204   -0.115000    1.037500
  65    1.298442    0.252700    0.796500
  66    0.572849   -0.191700    0.800900
  67    1.154879    0.354100    1.239700
  68    0.747712    0.059500    1.018900
  69    1.075390    0.365000    0.491800
  70    1.187588   -0.136700    1.048400
  71    0.858663    0.062700    0.878500
  72    0.653625   -0.161200    1.057700
  73    1.246230    0.275400    0.740500
  74    1.200257    0.273500    0.698200
  75    0.558534    0.035600    0.262900
  76    1.085683    0.298600    0.606300
  77    1.070951   -0.030400    0.742300
  78    0.712080    0.014800    0.991600
  79    0.705037    0.269400    1.193300
  80    0.677725   -0.248600    0.439900
  81    1.174684   -0.182300    0.821000
  82    0.514509   -0.175100    1.282700
  83    1.227798   -0.063800    0.902200
  84    0.911385    0.051100    1.114700
  85    0.696781   -0.477800    1.059200
  86    0.561056    0.136200    0.980100
  87    1.313769    0.176200    0.365900
  88    1.214985   -0.079400    0.920300
  89    1.062763   -0.142800    1.456500
