   i      U(i)        H(U)(i)  Hinv(H(U))(i)

   0    1.000000  434.000000    1.000000
   1    6.000000  -304.000000    6.000000
   2   13.000000  -62.225397   13.000000
   3   22.000000  -152.735065   22.000000
   4   33.000000  -14.000000   33.000000
   5   46.000000  -30.000000   46.000000
   6   61.000000  -46.000000   61.000000
   7   78.000000  -62.000000   78.000000
   8   97.000000   -3.535534   97.000000
   9  118.000000   -6.363961  118.000000
  10  141.000000   -9.192388  141.000000
  11  166.000000  -12.020815  166.000000
  12  193.000000  -14.849242  193.000000
  13  222.000000  -17.677670  222.000000
  14  253.000000  -20.506097  253.000000
  15  286.000000  -23.334524  286.000000
